Row Labels,Average of Temperature,Average of Clearsky GHI,Average of GHI
308,19.93387681,188.0416667,170.75
309,19.75434783,186.240942,167.0634058
310,19.06105072,186.2971014,175.0018116
311,19.31413043,184.0289855,164.5362319
312,18.96594203,180.9673913,161.4673913
313,18.80108696,179.3423913,164.5815217
314,18.03605072,178.9565217,164.5181159
315,17.27934783,177.5163043,155.9492754
316,16.99619565,176.0163043,158.5923913
317,16.92681159,174.6268116,155.7554348
318,17.04438406,173.2608696,161.0181159
319,17.15398551,172.4673913,160.134058
320,16.78894928,170.7427536,150.2318841
321,16.6451087,170.048913,158.8949275
322,16.58913043,169.4746377,161.0054348
323,16.63858696,169.2137681,166.5
324,17.10833333,167.7119565,158.0072464
325,17.21938406,164.5235507,145.4583333
326,16.60199275,161.9112319,133.5271739
327,15.48442029,162.1394928,142.3351449
328,14.71485507,162.6413043,148.2554348
329,14.59619565,160.9873188,147.3894928
330,14.11177536,159.9456522,143.3913043
331,14.08405797,158.9637681,142.6431159
332,13.6759058,157.8550725,145.576087
333,13.16884058,155.7300725,130.6811594
334,12.5884058,155.1775362,133.4836957
335,12.78532609,155.0289855,135.8586957
336,13.18641304,153.0688406,140.240942
337,12.93206522,152.0851449,128.423913
338,13.02101449,151.9057971,141.0978261
339,12.12137681,151.701087,123.615942
340,12.28043478,151.1757246,133.2807971
341,12.18043478,149.7300725,122.6847826
342,12.38315217,148.8315217,121.6322464
343,11.9182971,148.192029,135.0507246
344,11.69202899,148.6032609,135.3278986
345,11.72735507,146.8586957,126.5199275
346,12.20778986,145.1376812,125.9800725
347,11.73369565,143.817029,120.1539855
348,11.29166667,145.3442029,131.2789855
349,10.91068841,145.3731884,128.4311594
350,10.71123188,146.1757246,120.9891304
351,10.76666667,145.6177536,123.4221014
352,10.99202899,144.3387681,128.3007246
353,10.94891304,144.6576087,128.740942
354,10.85833333,145.7083333,135.4547101
355,11.13496377,145.451087,133.375
356,10.74076087,144.7083333,119.9021739
357,10.48677536,144.0072464,112.0289855
358,10.1673913,145.1268116,118.9202899
359,10.05126812,146.1231884,126.8315217
360,9.47826087,146.6992754,128.7173913
361,9.376449275,147.0235507,135.2971014
362,9.473913043,147.4094203,132.1576087
363,9.467028986,147.2391304,126.8568841
364,10.15362319,146.0108696,122.6757246
365,10.17880435,148.0181159,130.9438406
366,9.932065217,146.673913,111.0815217
