,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,811.5,798.0,807.5,807.0,851.0,528.5,803.5,809.0,731.5,640.0,717.0,800.5,810.0,762.0,804.5,780.0,743.0,658.5,801.0,739.0,541.5,715.0,363.0,429.5,570.5,402.0,500.0,594.5,602.0,603.5,494.0,688.5,523.5,693.0,692.0,500.0,488.5,488.5,438.0,441.0,393.0,549.5,371.5,411.5,463.5,536.5,825.0,504.0,653.0,569.5,693.0,686.0,459.0,540.5,630.0,495.5,531.0,363.0,328.5,292.0,437.5,547.5,698.0,648.0,433.5,415.5,601.0,215.5,446.5,555.5,603.5,700.0,681.5,654.5,691.5,670.0,306.0,430.0,387.5,646.0,609.5,926.0,774.0,723.0,702.5,569.0,546.0,647.0,523.5,618.0,673.0,699.5,698.0
1,1055.5,955.0,748.5,1045.0,966.5,971.5,1072.5,1049.5,1045.0,941.0,1053.0,1053.0,887.0,1053.5,1058.5,924.0,969.5,1063.0,1063.0,842.0,732.0,656.0,781.0,703.0,917.5,745.0,1010.5,793.5,899.5,760.0,1023.5,753.5,553.5,979.0,756.5,840.5,1002.0,798.5,796.0,692.0,567.0,874.5,1004.5,728.5,704.0,637.0,916.0,836.0,996.5,913.0,911.0,929.0,996.0,999.0,898.0,824.0,1008.5,990.0,632.0,930.0,948.0,734.5,959.5,967.5,835.0,701.0,947.5,690.0,712.5,433.0,830.0,633.0,755.0,943.5,829.0,954.5,864.0,933.0,615.5,846.0,936.5,928.0,932.5,941.5,865.5,905.0,900.5,813.5,739.0,712.0,900.0,901.5,747.0
2,843.0,822.5,754.5,748.5,789.0,770.5,749.5,693.5,830.0,732.0,779.5,740.5,714.5,720.5,731.0,734.0,738.0,720.0,680.0,521.5,401.0,400.5,623.5,524.5,580.5,644.5,542.0,655.0,614.0,684.5,647.5,603.0,556.0,674.5,645.0,455.0,527.5,559.0,479.0,435.5,541.0,435.0,438.5,464.5,446.0,428.0,598.5,668.5,607.5,679.0,675.5,592.5,520.5,379.5,374.0,512.5,435.0,538.0,527.0,466.5,556.0,393.0,580.5,506.0,517.0,339.5,351.5,461.0,494.5,498.0,481.5,575.0,622.5,490.5,361.5,229.0,87.5,747.5,533.5,691.5,892.5,869.5,802.5,631.5,635.5,601.5,500.0,592.5,538.5,650.5,701.5,724.5,652.0
