,0
0,14.765246449456976
1,14.755629691409508
2,14.746096959737057
3,14.754299754299755
4,14.979784366576819
5,14.299509001636661
6,14.778606965174129
7,14.670751633986928
8,14.747474747474747
9,14.759607522485691
10,14.19773095623987
11,16.716180371352785
12,14.599025974025974
13,14.232447817836812
14,12.782608695652174
15,13.750599520383693
16,13.133394664213432
17,15.477102414654455
18,14.699066874027993
19,9.293959731543625
20,15.1736
21,13.727202472952087
22,14.768575851393189
23,14.707787201233616
24,14.744744744744745
25,14.648831951770912
26,14.758364312267657
27,13.165490196078432
28,13.498821681068343
29,13.417290108063176
30,13.566448801742919
31,14.65533230293663
32,13.733539891556932
33,8.966471081307628
34,14.579985905567302
35,14.565003513703443
36,14.76869322152341
37,14.71350613915416
38,15.770592239618788
39,19.487179487179485
40,16.74483596597813
41,14.7556142668428
42,14.66622864651774
43,14.120431893687707
44,20.13154689403167
45,13.879656160458453
46,14.744487678339818
47,14.780632411067193
48,14.74709677419355
49,14.763057324840764
50,13.306245802552048
51,9.206093189964157
52,15.6979374584165
53,14.689205955334987
54,18.039340101522843
55,14.679948586118252
56,14.445652173913043
57,13.945510835913312
58,12.915904936014625
59,13.671523982999393
60,13.0564166150031
61,14.77983293556086
62,14.153220762976861
63,14.809352517985612
64,14.666468842729971
65,19.523721503388785
66,16.59801633605601
67,13.10392749244713
68,7.600657894736842
69,6.706267539756782
70,26.319917440660475
71,14.707954545454545
72,16.201023391812864
73,14.454227405247813
74,13.841484973482617
75,14.705980994969256
76,8.74701873935264
77,14.742920599666851
78,13.330850403476102
79,14.536802030456853
80,17.288361320208455
81,20.634680134680135
82,18.669060773480663
83,8.790940766550523
84,6.706563706563706
85,14.071092831962398
86,14.841823056300267
87,14.826933193056286
88,14.863949179460032
89,18.297830374753453
90,3.009625668449198
91,7.971875
92,14.857593273778244
93,19.61645299145299
94,19.678839957035446
95,20.330675172780435
96,19.805835543766577
97,19.121081745543947
98,8.655136268343815
99,13.515458122540753
100,16.797705943691344
101,19.1281366791244
102,17.840288511076764
103,4.869234668018247
104,13.499231163505895
105,20.090858104318563
106,19.637351267459906
107,27.335362760020296
108,41.966142684401454
109,32.25330512956108
110,17.779404341241797
111,39.039574719432956
112,56.17471872931833
113,56.96467391304348
114,61.53824561403509
115,58.07395498392283
116,58.860980523841505
117,59.53387937453462
118,46.07493702770781
119,44.287680660701994
120,44.92974238875878
121,46.10874053682037
122,52.87956438180653
123,56.42254449571523
124,57.01945525291829
125,55.95367847411444
126,57.43420173680695
127,55.25085675119945
128,55.2234273318872
129,43.187932118164674
130,42.49081209247184
131,48.25573770491803
132,40.72172949002217
133,60.2543227665706
134,57.36697860962567
135,50.94379712131597
136,34.96870109546166
137,42.015092230296254
138,12.805314009661835
