Minute,Average of Temperature,Average of GHI
1085,25.38631387,87.3649635
1090,25.21596715,78.37226277
1095,25.04735401,69.75456204
1100,24.87737226,61.37408759
1105,24.70510949,53.88047445
1110,24.53640511,46.62226277
1115,24.36569343,39.94343066
1120,24.19653285,33.92153285
1125,24.0245438,28.4580292
1130,23.85529197,23.46715328
1135,23.68485401,19.02189781
1140,23.51596715,15.09580292
1145,23.42801095,11.61587591
1150,23.33978102,8.681569343
1155,23.25337591,6.16879562
1160,23.16459854,4.08850365
1165,23.07764599,2.452554745
1170,22.99005474,1.204379562
1175,22.90337591,0
1180,22.81468978,0
1185,22.72645985,0
1190,22.63914234,0
1195,22.55282847,0
1200,22.46487226,0
1205,22.39562044,0
1210,22.32636861,0
1215,22.25830292,0
1220,22.18822993,0
1225,22.11861314,0
1230,22.05218978,0
1235,21.9830292,0
1240,21.91359489,0
1245,21.84507299,0
1250,21.77490876,0
1255,21.70775547,0
1260,21.6395073,0
1265,21.57080292,0
1270,21.50456204,0
1275,21.43813869,0
1280,21.37198905,0
1285,21.30748175,0
1290,21.23886861,0
1295,21.17153285,0
1300,21.10474453,0
1305,21.03859489,0
1310,20.97208029,0
1315,20.90392336,0
1320,20.83914234,0
1325,20.77554745,0
1330,20.71304745,0
1335,20.64872263,0
1340,20.58558394,0
1345,20.52317518,0
1350,20.46085766,0
1355,20.39790146,0
1360,20.33339416,0
1365,20.27125912,0
1370,20.20729927,0
1375,20.1415146,0
1380,20.07864964,0
1385,20.01833942,0
1390,19.96094891,0
1395,19.90054745,0
1400,19.83959854,0
1405,19.78083942,0
1410,19.7209854,0
1415,19.66286496,0
1420,19.60237226,0
1425,19.54124088,0
1430,19.48439781,0
1435,19.42162409,0
