,0
0,1.1666666666666667
1,2.1666666666666665
2,2.0
3,1.1666666666666667
4,0.8333333333333334
5,1.8333333333333333
6,2.0
7,1.1666666666666667
8,1.1666666666666667
9,1.1666666666666667
10,1.1666666666666667
11,1.3333333333333333
12,1.1666666666666667
13,1.1666666666666667
14,1.1666666666666667
15,1.1666666666666667
16,1.1666666666666667
17,1.1666666666666667
18,2.1666666666666665
19,1.1666666666666667
20,1.0
21,2.1666666666666665
22,2.1666666666666665
23,2.1666666666666665
24,2.1666666666666665
25,1.1666666666666667
26,2.1666666666666665
27,2.1666666666666665
28,2.1666666666666665
29,2.1666666666666665
30,2.1666666666666665
31,1.5
32,1.1666666666666667
33,0.3333333333333333
34,1.1666666666666667
35,2.3333333333333335
36,1.1666666666666667
37,2.1666666666666665
38,1.1666666666666667
39,0.3333333333333333
40,2.0
41,2.0
42,2.0
43,1.1666666666666667
44,1.8333333333333333
45,1.8333333333333333
46,1.3333333333333333
47,0.8333333333333334
48,2.1666666666666665
49,1.1666666666666667
50,2.0
51,0.6666666666666666
52,2.1666666666666665
53,3.1666666666666665
54,2.1666666666666665
55,2.0
56,2.1666666666666665
57,2.0
58,2.0
59,1.1666666666666667
60,1.5
61,2.0
62,2.0
63,2.1666666666666665
64,1.0
65,1.1666666666666667
66,0.3333333333333333
67,1.1666666666666667
68,2.0
69,1.1666666666666667
70,2.1666666666666665
71,1.0
72,2.0
73,2.1666666666666665
74,2.1666666666666665
75,1.1666666666666667
76,1.1666666666666667
77,1.1666666666666667
78,0.5
79,1.1666666666666667
80,2.1666666666666665
81,1.0
82,2.1666666666666665
83,2.1666666666666665
84,1.1666666666666667
85,0.16666666666666666
86,2.1666666666666665
87,1.3333333333333333
88,2.1666666666666665
89,1.1666666666666667
90,2.3333333333333335
91,2.1666666666666665
92,2.0
93,1.8333333333333333
94,1.1666666666666667
95,2.0
96,2.8333333333333335
97,1.1666666666666667
98,1.1666666666666667
99,1.1666666666666667
100,2.0
101,1.0
102,2.1666666666666665
103,2.1666666666666665
104,2.0
105,1.0
106,2.1666666666666665
107,2.1666666666666665
108,2.1666666666666665
109,1.1666666666666667
110,0.16666666666666666
111,2.1666666666666665
112,2.1666666666666665
113,2.1666666666666665
114,2.1666666666666665
115,1.1666666666666667
116,1.1666666666666667
117,2.1666666666666665
118,0.16666666666666666
119,1.5
120,2.0
121,1.1666666666666667
122,2.0
123,2.0
